symbol,n_ob,n_test,respect%,avg_R,med_R,swing%,fresh_OB,score
SKYAI/USDT:USDT,68,57,59.6,2.45,1.71,36.8,"haussier, il y a 36 barres",53.151
龙虾/USDT:USDT,67,53,58.5,1.51,1.66,39.6,"haussier, il y a 3 barres",51.722
LAB/USDT:USDT,67,56,57.1,3.91,1.59,37.5,"haussier, il y a 3 barres",50.53
SPX/USDT:USDT,72,58,55.2,1.55,1.6,27.6,"haussier, il y a 8 barres",48.642
ENA/USDT:USDT,63,49,55.1,1.62,1.54,38.8,"haussier, il y a 15 barres",47.996
BNB/USDT:USDT,62,49,55.1,1.36,1.54,30.6,"baissier, il y a 6 barres",47.996
TRUMP/USDT:USDT,62,50,54.0,1.62,1.56,38.0,"baissier, il y a 21 barres",46.952
SIREN/USDT:USDT,61,50,54.0,2.74,1.57,38.0,"baissier, il y a 27 barres",46.952
AVAX/USDT:USDT,67,59,52.5,1.54,1.54,35.6,"haussier, il y a 15 barres",46.041
ALLO/USDT:USDT,57,46,52.2,1.36,1.52,26.1,"haussier, il y a 72 barres",44.809
LINK/USDT:USDT,60,46,52.2,1.33,1.55,30.4,"haussier, il y a 15 barres",44.809
PUMP/USDT:USDT,76,65,50.8,1.49,1.52,23.1,"haussier, il y a 30 barres",44.568
OPG/USDT:USDT,32,26,53.8,1.6,1.58,34.6,"baissier, il y a 14 barres",44.069
BR/USDT:USDT,63,51,51.0,1.78,1.52,29.4,"haussier, il y a 9 barres",43.98
NEAR/USDT:USDT,58,47,51.1,1.51,1.52,40.4,"baissier, il y a 6 barres",43.772
H/USDT:USDT,75,60,50.0,1.72,1.47,30.0,"baissier, il y a 12 barres",43.545
SUI/USDT:USDT,61,43,51.2,1.47,1.51,30.2,"haussier, il y a 4 barres",43.54
ETH/USDT:USDT,65,52,50.0,1.46,1.52,34.6,"haussier, il y a 12 barres",43.066
TAO/USDT:USDT,52,40,50.0,1.55,1.51,25.0,"haussier, il y a 26 barres",42.094
ONDO/USDT:USDT,61,51,49.0,1.41,1.48,25.5,"haussier, il y a 15 barres",42.02
