symbol,txn_vol,n_ob,n_test,respect%,avg_R,med_R,swing%,fresh_OB,score
USAR/USDT:USDT,10.7M,33,25,72.0,2.72,2.42,32.0,"haussier, il y a 4 barres",63.02
INTC/USDT:USDT,22.4M,82,61,67.2,2.39,2.01,34.4,"baissier, il y a 7 barres",61.203
PAXG/USDT:USDT,6.0M,72,60,66.7,1.92,1.79,33.3,"haussier, il y a 18 barres",60.581
COIN/USDT:USDT,2.9M,79,68,64.7,2.19,1.78,36.8,"haussier, il y a 17 barres",58.911
AAOI/USDT:USDT,22.0M,47,38,65.8,2.87,2.0,34.2,"baissier, il y a 7 barres",58.093
MRVL/USDT:USDT,42.9M,75,57,63.2,2.72,2.14,45.6,"baissier, il y a 86 barres",56.769
TSLA/USDT:USDT,6.5M,80,69,62.3,2.44,1.69,39.1,"baissier, il y a 100 barres",56.485
QBTS/USDT:USDT,3.2M,18,13,69.2,3.09,1.84,30.8,"baissier, il y a 7 barres",56.43
SNDK/USDT:USDT,58.6M,61,51,62.7,2.05,1.68,25.5,"baissier, il y a 7 barres",55.975
AXTI/USDT:USDT,4.7M,41,31,64.5,2.44,2.01,32.3,"baissier, il y a 8 barres",55.923
NBIS/USDT:USDT,14.9M,47,41,63.4,2.39,1.83,34.1,"haussier, il y a 7 barres",55.892
MU/USDT:USDT,79.8M,74,58,62.1,2.7,2.03,39.7,"baissier, il y a 7 barres",55.698
CBRS/USDT:USDT,37.8M,28,23,65.2,2.43,2.13,47.8,"baissier, il y a 7 barres",55.286
TQQQ/USDT:USDT,3.7M,80,57,61.4,1.67,1.71,31.6,"baissier, il y a 7 barres",54.955
HOOD/USDT:USDT,3.7M,85,68,60.3,2.26,1.9,35.3,"haussier, il y a 17 barres",54.361
LITE/USDT:USDT,58.9M,52,44,61.4,2.84,1.68,38.6,"baissier, il y a 8 barres",54.023
AMD/USDT:USDT,4.0M,59,51,60.8,2.35,1.73,29.4,"baissier, il y a 7 barres",53.948
POET/USDT:USDT,2.9M,29,24,62.5,2.64,2.05,25.0,"baissier, il y a 7 barres",52.618
APLD/USDT:USDT,5.4M,40,31,61.3,3.3,2.05,25.8,"haussier, il y a 15 barres",52.542
RKLB/USDT:USDT,58.9M,63,53,58.5,1.87,1.6,24.5,"baissier, il y a 7 barres",51.722
